и	i
бестолково	bɪstɐɫˈkovə
втихаря	ftɪxɐˈra
восклицание	vəsklɪˈt͡sanɪje
слепил	slɪˈpiɫ
прогуливался	prɐˈɡulɪvəɫsə
дегтя	
шторами	ˈʂtorəmɪ
остывший	ɐˈstɨfʂɨj
пелену	pɪlɪˈnu
исключений	ɪsklʉˈt͡ɕenɪj
сидящему	
невод	ˈnɛvot
дверном	
представительство	prɪt͡stɐˈvitɪlstvə
обратившись	ɐbrɐˈtifʂɨs
монетки	mɐˈnetkɪ
горбушку	ɡɐrˈbuʂkʊ
внял	vnaɫ
разбитая	
развернули	rəzvɪrˈnulɪ
улыбаешься	ʊɫɨˈbajɪʂsə
вскрикивал	ˈfskrikɪvəɫ
директивы	dɪrɪkˈtivɨ
построенные	
целуются	t͡sɨˈɫujʊt͡sə
стремительное	
продвигался	prədvɪˈɡaɫsə
экстазе	ɪkˈstaze
кинотеатре	kɪnətɪˈatre
достоинствах	dɐˈstoɪnstvəx
выслушала	ˈvɨsɫʊʂəɫə
предполагая	prɪtpəɫɐˈɡajə
точках	ˈtot͡ɕkəx
вкусах	ˈfkusəx
парням	pɐrˈnam
замучили	zɐˈmut͡ɕɪlɪ
листьях	ˈlistjəx
живущим	
устройству	ʊˈstrojstvʊ
неуловимое	
фрагмент	ˈfraɡmɛnt
замиранием	zəmɪˈranɪjɪm
приоритет	prijɔɾiˈtɛt
вводит	ˈvːodɪt
задержится	zɐˈderʐɨt͡sə
использованию	ɪˈspolzəvənɪjʊ
пьяными	ˈpjanɨmɪ
желанной	
пологом	ˈpoɫəɡəm
грот	ɡrot
прежними	
хмурые	
бедре	bɪˈdre
дислокации	dɪsɫɐˈkat͡sɨɪ
взаимодействии	vzɐˌimɐˈdejstvɪɪ
сострил	sɐˈstriɫ
глобальных	
предсказания	prɛtˈskazɐnijɐ
уходу	ʊˈxodʊ
успокоили	ʊspɐˈkoɪlɪ
инстанций	ɪnˈstant͡sɨj
удаляют	ʊdɐˈlæjʊt
корзинами	kɐrˈzinəmɪ
возмущались	vəzmʊˈɕːælɪs
лекарственного	
инцидента	ɪnt͡sɨˈdentə
дуй	duj
давила	dɐˈviɫə
мерцал	mɪrˈt͡saɫ
резными	
таскаться	tɐˈskat͡sːə
отпущения	ɐtpʊˈɕːenɪjə
известий	ɪzˈvestɪj
вражеского	
выбиты	
воодушевлением	vɐɐdʊʂɨˈvlenɪjɪm
отбежал	ɐdbɪˈʐaɫ
остынет	ɐˈstɨnɪt
опираться	ɐpɪˈrat͡sːə
комментариями	kəmɪnˈtarɪjəmɪ
оперативным	
распространять	rəsprəstrɐˈnæt
басни	ˈbasɲi
заслонил	zəsɫɐˈniɫ
соловьи	səɫɐˈvji
царило	t͡sɐˈriɫə
гида	ˈɡidə
дирижера	
любящих	
преступный	prɪˈstupnɨj
кап	kap
партизанского	
бетонных	
отмели	ˈotmɪlɪ
пупка	ˈpupka
писателям	pɪˈsatɪləm
ухватив	ʊxvɐˈtif
разогнать	rəzɐɡˈnat
ковровой	
волоком	ˈvoɫəkəm
отравил	ɐtrɐˈviɫ
скорпион	skorpiˈɔn
креветки	krɪˈvetkɪ
бом	bɔm
перекладину	pɪrɪˈkɫadɪnʊ
иголкой	ɪˈɡoɫkəj
обусловлены	
впасть	fpast
защищала	zəɕːɪˈɕːaɫə
арены	ɐˈrenɨ
обманешь	ɐbˈmanɪʂ
призывают	prɪzɨˈvajʊt
тороплюсь	tərɐˈplʉs
крошечной	
застывшие	
выхватила	ˈvɨxvətɪɫə
причитала	prɪt͡ɕɪˈtaɫə
одноглазый	ɐdnɐˈɡɫazɨj
ограбление	ɐɡrɐˈblenɪje
обещано	obɛʃˈtano
благодарит	bɫəɡədɐˈrit
шахтеров	
описании	ɐpɪˈsanɪɪ
отцовские	
пальм	palm
группам	ˈɡrupːəm
голодухи	ɡəɫɐˈduxɪ
стоявшая	
комбинацию	kəmbɪˈnat͡sɨjʊ
заткнул	zɐtkˈnuɫ
затаенной	
заинтересованных	
прилюдно	
побегут	pəbɪˈɡut
старье	stɐˈrje
поблагодарила	pəbɫəɡədɐˈriɫə
полноту	pəɫnɐˈtu
вращения	vrɐˈɕːenɪjə
генеральского	
гордятся	ɡɐrˈdat͡sːə
вставляет	fstɐˈvlæjɪt
пролетарской	
сговор	ˈzɡovər
раздумывать	rɐzˈdumɨvət
беспамятстве	bɪˈspamɪt͡stve
узорами	ʊˈzorəmɪ
диктофон	dɪktɐˈfon
неподвижен	nɛˈpɔdviʒɛn
поднят	
шкафчик	ˈʂkaft͡ɕɪk
упав	ʊˈpaf
аналогия	ɐnɐˈɫoɡɪjə
подрались	pədrɐˈlis
опускаются	ɐpʊˈskajʊt͡sə
преувеличивать	prɪʊvɪˈlit͡ɕɪvət
толстое	
припадая	prɪpɐˈdajə
фундаменте	fʊnˈdamɪnte
обывателя	ɐbɨˈvatɪlə
затихал	zətɪˈxaɫ
называй	nəzɨˈvaj
вылет	ˈvɨlɪt
элементарного	
старушкой	stɐˈruʂkəj
радужные	
стойте	ˈstojte
сопутствует	sɐˈput͡stvʊjɪt
гуляй	ɡoˈla̟j
обыватель	ɐbɨˈvatɪl
державу	dɪrˈʐavʊ
орлов	ˈɔrɫɔf
оригинальной	
пришельцами	prɪˈʂɛlt͡səmɪ
сравниться	srɐvˈnit͡sːə
каменистой	
зрачка	zrɐt͡ɕˈka
очищения	ɐt͡ɕɪˈɕːenɪjə
пущей	ˈpuɕːɪj
эмигранта	ɪmɪˈɡrantə
направляют	nəprɐˈvlæjʊt
снимка	ˈsnimkɐ
дарят	ˈdarət
провинциальных	
поджечь	pɐd͡ʐˈʐɛt͡ɕ
павильоне	pəvɪˈljɵne
цветут	t͡svɪˈtut
аэродромы	ɐɪrɐˈdromɨ
жуть	ʐut
жутковато	
арабские	
смерил	ˈsmerɪɫ
замахала	zəmɐˈxaɫə
приветственно	
люби	lʉˈbi
жареных	
создаются	səzdɐˈjut͡sːə
корявые	
тупость	ˈtupəst
косяки	kəsɪˈki
шестидесятые	
музыкальная	
колючим	
сопровождающие	səprəvɐʐˈdajʉɕːɪje
криминального	
вуза	ˈvuzə
ремнях	rɪˈmnax
завороженный	
денежный	ˈdenɪʐnɨj
захвату	zɐxˈvatʊ
лужайки	ɫʊˈʐajkɪ
длительных	
учебной	
келью	ˈkeljʊ
соратник	ˈsɔɾatnik
травму	ˈtravmʊ
отодвинула	ɐtɐdˈvinʊɫə
списков	ˈspiskəf
царапина	t͡sɐˈrapɪnə
опускают	ɐpʊˈskajʊt
изоляторе	ɪzɐˈlatəre
посвященной	
царапин	t͡sɐˈrapɪn
увеличился	ʊvɪˈlit͡ɕɪɫsə
пожалуйте	pɐˈʐaɫʊjte
специалисту	spɪt͡sɨɐˈlistʊ
созданное	
катастрофой	kətɐˈstrofəj
танковая	ˈtankəvəjə
рассказчика	rɐˈskaɕːɪkə
этапы	ɪˈtapɨ
затруднении	zətrʊdˈnenɪɪ
нечистая	
отъехал	ɐtˈjexəɫ
покупка	poˈkupkɐ
концертах	kɐnˈt͡sɛrtəx
подвиге	ˈpodvɪɡe
кукушка	kʊˈkuʂkə
выдумкой	ˈvɨdʊmkəj
заходящего	
вкусная	
концепций	kɐnˈt͡sɛpt͡sɨj
определиться	ɐprɪdɪˈlit͡sːə
ского	
союзника	sɐˈjʉznɪkə
бары	ˈbarɨ
неизбежность	nɪɪzˈbeʐnəst
надоедает	nədəjɪˈdajɪt
отвода	ɐtˈvodə
командирский	kəmɐnˈdirskɪj
фракций	ˈfrakt͡sɨj
сухощавый	sʊxɐˈɕːavɨj
жалоба	ʐaˈɫoba
дипломы	dɪˈpɫomɨ
врезались	vrɪˈzalɪs
опоздала	ɐpɐzˈdaɫə
засели	zɐˈselɪ
ничтожно	nɪt͡ɕˈtoʐnə
потух	pɐˈtux
талон	tɐˈɫɔn
атаковали	ɐtəkɐˈvalɪ
винный	ˈvinːɨj
крутую	
принцу	ˈprint͡sʊ
солдатского	
спасением	spɐˈsenɪjɪm
горошек	ɡɐˈroʂɨk
таинственности	tɐˈinstvɪnːəstɪ
заглох	zɐˈɡɫox
оступился	ɐstʊˈpiɫsə
отдыхай	ɐdːɨˈxaj
тактике	ˈtaktɪke
лабораторных	
обхода	ɐpˈxodə
освобождает	ɐsvəbɐʐˈdajɪt
магазинами	məɡɐˈzinəmɪ
духовном	
вычислил	ˈvɨt͡ɕɪslɪɫ
плевал	plɪˈvaɫ
ведение	ˈvedɪnɪje
говядины	ɡɐˈvædɪnɨ
упругий	ʊˈpruɡɪj
разучились	rəzʊˈt͡ɕilɪs
основатель	ɐsnɐˈvatɪl
набивал	nəbɪˈvaɫ
проводы	prɐˈvodɨ
дубль	dubl
героический	ɡɪrɐˈit͡ɕɪskɪj
адвокату	ɐdvɐˈkatʊ
воинские	
почувствуешь	pɐˈt͡ɕustvʊjɪʂ
примитивных	
рву	rvu
здешнего	
гуманитарной	
чудное	
названных	
идущей	
получивших	
поволокли	pəvəɫɐˈkli
кислого	
экономия	ɪkɐˈnomɪjə
выбросило	ˈvɨbrəsɪɫə
кладовке	kɫɐˈdofke
каркас	kɐrˈkas
коснется	
погибель	pɐˈɡibɪl
медную	
публикацию	pʊblɪˈkat͡sɨjʊ
долларами	ˈdoɫːərəmɪ
постаралась	pəstɐˈraɫəs
модернизации	mədɨrnɪˈzat͡sɨɪ
заботливый	zɐˈbotlɪvɨj
органические	
коттедж	kɐˈtɛt͡ʂʂ
грохоте	ˈɡroxəte
фокусов	ˈfokʊsəf
штрафной	ʂtrɐfˈnoj
ограда	ˈɔɡrada
гардероба	ɡardɛˈrɔba
болотной	
стрельцов	strɪlˈt͡sof
телефонам	tɪlɪˈfonəm
мальчуган	məlt͡ɕʊˈɡan
звучания	zvʊˈt͡ɕænɪjə
вооружены	vɐɐrʊʐɨˈnɨ
затянуться	zətɪˈnut͡sːə
глади	ˈɡɫadɪ
визжа	vɪˈʐːa
сторонами	stərɐˈnamɪ
хихикнула	xɪˈxiknʊɫə
строчек	ˈstrot͡ɕɪk
косынку	kɐˈsɨnkʊ
музыкантами	mʊzɨˈkantəmɪ
торжественная	
высотах	vɨˈsotəx
содействия	sɐˈdejstvɪjə
прочтения	prɐt͡ɕˈtenɪjə
протестовал	prətɪstɐˈvaɫ
воспринимаются	vəsprɪnɪˈmajʊt͡sə
рудокопов	
комом	ˈkoməm
прополз	prɐˈpoɫs
невежливо	
робота	ˈrobətə
рассуждают	rəsːʊʐˈdajʊt
доведет	
колхозах	kɐɫˈxozəx
капитаны	kəpɪˈtanɨ
трофей	troˈfɛj
излишки	ɪzˈliʂkɪ
меняю	mɪˈnæjʊ
поменяться	pəmɪˈnat͡sːə
рубежей	rʊbɪˈʐɛj
минимуму	ˈminɪmʊmʊ
чертить	t͡ɕɪrˈtit
заспанный	ˈzaspənːɨj
когтей	kɐkˈtej
возвысил	vɐzˈvɨsɪɫ
визжат	vɪˈʐːat
партизана	pərtɪˈzanə
поступками	pɐˈstupkəmɪ
скачки	skɐt͡ɕˈki
завертелся	zəvɪrˈteɫsə
важнейшие	
областном	
портится	ˈportɪt͡sə
выпятив	ˈvɨpɪtɪf
осознали	ɐsɐzˈnalɪ
возможном	
уверенная	
хирургом	xɪˈrurɡəm
предназначенные	
выпитого	
загаром	zɐˈɡarəm
психов	ˈpsixəf
каштан	kaštan
рожденья	rɐʐˈdenjə
бетонным	
домашнюю	dɐˈmaʂnʉjʊ
заявка	zɐˈjafkə
упомянутого	
началах	nɐˈt͡ɕaɫəx
рекомендовать	rɪkəmɪndɐˈvat
товарищески	
чепухи	t͡ɕɪpʊˈxi
открыться	ɐtˈkrɨt͡sːə
размещался	rəzmɪˈɕːaɫsə
впотьмах	fpɐtˈmax
тайгой	tɐjˈɡoj
исписанные	
куриные	
автомобилю	ɐftəmɐˈbilʊ
психоз	psixoz
проволочной	
справишься	ˈspravɪʂsə
промежности	prɐˈmeʐnəstɪ
перестану	pɪrɪˈstanʊ
раскаленным	
съешь	sjeʂ
кишечнике	kɪˈʂɛt͡ɕnɪke
обращены	
несостоятельность	nɪsəstɐˈjætɪlnəst
община	opʃtiˈna
тушью	ˈtuʂjʊ
культурная	
зловещее	
рванулись	rvɐˈnulɪs
потеряю	pətɪˈræjʊ
опаздывает	ɐˈpazdɨvəjɪt
авеню	ɐvɛˈnu̟
подавлен	
взгляни	vzɡlɪˈni
сломала	sɫɐˈmaɫə
браслеты	brɐsˈletɨ
вылезет	ˈvɨlɪzɪt
заинтересовалась	zəɪntɪrɪsɐˈvaɫəs
прочный	ˈprot͡ɕnɨj
корочкой	ˈkorət͡ɕkəj
снялся	ˈsnaɫsə
чугунный	t͡ɕʊˈɡunːɨj
горка	ˈɡorkə
физиком	ˈfizɪkəm
благородную	
сложными	
журналисту	ʐʊrnɐˈlistʊ
угрожали	ʊɡrɐˈʐalɪ
подслушал	potˈsɫuʃɐɫ
видала	vɪˈdaɫə
понятные	
успокаивающее	
формировании	fərmɪrɐˈvanɪɪ
родника	rədnɪˈka
обитают	ɐbɪˈtajʊt
молчавший	mɐɫˈt͡ɕafʂɨj
соединены	
бросаясь	brɐˈsajɪs
испугало	ɪspʊˈɡaɫə
раздал	rɐzˈdaɫ
шипела	ʂɨˈpeɫə
женскому	
дат	dat
торопливые	
осеннем	
коровой	kɐˈrovəj
удаляться	ʊdɐˈlat͡sːə
меньшего	ˈmenʂɨvə
лжет	
юбках	ˈjupkəx
игорь	
начистоту	nət͡ɕɪstɐˈtu
диверсантов	dɪvɪrˈsantəf
инфекцией	ɪnˈfekt͡sɨjɪj
прими	ˈprimi
девчонке	dɪfˈt͡ɕɵnke
измеряется	ɪzˈmerɪjɪt͡sə
эмигрантской	
волшебных	
оккупантов	ɐkʊˈpantəf
рупор	ˈrupər
кисточку	ˈkistət͡ɕkʊ
укрылся	ʊˈkrɨɫsə
распорядок	rəspɐˈradək
потрясающей	
худую	
честен	ˈt͡ʃɛstɛn
возятся	ˈvozət͡sə
субъективно	
осуществлению	ɐsʊɕːɪstˈvlenɪjʊ
селедки	
сравнил	srɐvˈniɫ
организмы	ɐrɡɐˈnizmɨ
обогнули	ɐbɐɡˈnulɪ
растерян	rɐˈsterɪn
одевается	ɐdɪˈvajɪt͡sə
диспут	ˈdisput
карусели	kərʊˈselɪ
подпускать	pətpʊˈskat
притихла	prɪˈtixɫə
точными	
командировочные	kəməndɪˈrovət͡ɕnɨje
бросалась	brɐˈsaɫəs
золотистыми	zəɫɐˈtistɨmɪ
березовых	
подругам	pɐˈdruɡəm
авоську	ɐˈvoskʊ
асессор	
влажная	
обманула	ɐbmɐˈnuɫə
подъездах	pɐdˈjezdəx
десанта	dɪˈsantə
чехов	ˈt͡ɕexəf
зева	ˈzɛva
крючка	krʉt͡ɕˈka
предлагалось	prɪdɫɐˈɡaɫəs
сиротой	sɪrɐˈtoj
увереннее	
активностью	ɐkˈtivnəstjʊ
резолюции	rɪzɐˈlut͡sɨɪ
отойди	ɐtɐjˈdi
интернет	ˈintɛrnɛt
переведен	
нитей	ˈnitɪj
акбар	
алкогольного	
прилавке	prɪˈɫafke
мирную	
полечу	pəlɪˈt͡ɕu
отдыху	ˈodːɨxʊ
настойчивость	nɐˈstojt͡ɕɪvəst
заезжал	zəjɪˈʐːaɫ
инвестор	
осмелится	ɐsˈmelɪt͡sə
истоков	ɪˈstokəf
отдохнем	
заполнены	
анекдоте	ɐnɪɡˈdote
легло	lɛˈɡɫɔ
нарушали	nərʊˈʂalɪ
ежедневные	
незнакомому	nɪznɐˈkoməmʊ
выясним	ˈvɨjɪsnɪm
помял	pɐˈmaɫ
властным	
убор	ʊˈbor
камушки	ˈkamʊʂkɪ
колючими	
аэроплан	ɐɪrɐˈpɫan
потерянно	
переливание	pɪrɪlɪˈvanɪje
целину	t͡sɨlɪˈnu
выигрыша	ˈvɨɪɡrɨʂə
размножения	rəzmnɐˈʐɛnɪjə
лифты	ˈliftɨ
педагога	pɪdɐˈɡoɡə
сочинении	sət͡ɕɪˈnenɪɪ
снизилась	ˈsnizɪɫəs
здороваясь	zdɐˈrovəjɪs
рецепты	rɪˈt͡sɛptɨ
украшений	ʊkrɐˈʂɛnɪj
вело	vɪˈɫo
педагоги	pɪdɐˈɡoɡɪ
приветствуют	prɪˈvet͡stvʊjʊt
лампочек	ˈɫampət͡ɕɪk
ранены	ˈranɪnɨ
продадут	prədɐˈdut
соорудил	sɐɐrʊˈdiɫ
союзниками	sɐˈjʉznɪkəmɪ
казах	ˈkazɐx
цветная	
плитки	ˈplitkɪ
скинула	ˈskinʊɫə
смелым	
причастен	prɪˈt͡ɕæstɪn
врачебной	
добровольцы	dəbrɐˈvolt͡sɨ
авантюрист	ɐvɐnto̟ˈrist
отпустите	ɐtˈpustɪte
эмиграцию	ɪmɪˈɡrat͡sɨjʊ
звездочкой	
догадывалась	dɐˈɡadɨvəɫəs
заиграли	zəɪˈɡralɪ
легок	
намеревались	nəmɪrɪˈvalɪs
воробья	vərɐˈbja
театрально	
пой	poj
дышало	dɨˈʂaɫə
уговор	ʊɡɐˈvor
воротничком	vərətnɪt͡ɕˈkom
исходу	ɪˈsxodʊ
слеп	slɛp
камуфляже	kəmʊˈflaʐɨ
хромовых	
кадром	ˈkadrəm
подтолкнуть	pətːɐɫkˈnut
девалась	dɪˈvaɫəs
раздевалке	rəzdɪˈvaɫke
непрерывным	
вышка	ˈvɨʂkə
голубя	ˈɡoɫʊbə
жабы	ˈʐabɨ
суетиться	sʊjɪˈtit͡sːə
ракетных	
стонать	stɐˈnat
фантастическим	
метлы	mɪtˈɫɨ
лая	ɫɐjɐ
чутким	
пряжкой	ˈpraʂkəj
мутную	
невнятные	
невозможны	nɪvɐzˈmoʐnɨ
звонишь	zvɐˈniʂ
самообладание	səmɐɐbɫɐˈdanɪje
энциклопедию	ɪnt͡sɨkɫɐˈpedɪjʊ
примитивной	
противиться	prɐˈtivɪt͡sə
регулирования	rɪɡʊˈlirəvənɪjə
рыцарем	ˈrɨt͡sərɪm
отправляясь	ɐtprɐˈvlæjɪs
хозяйственным	
кит	kit
мужичка	mʊʐɨt͡ɕˈka
дальнейшую	
баловался	bəɫɐˈvaɫsə
засекли	zɐˈsɛkli
положительное	
гадал	ɡɐˈdaɫ
морщинах	mɐrˈɕːinəx
фраер	ˈfraɛr
топает	ˈtopəjɪt
путешествиях	pʊtɪˈʂɛstvɪjəx
поездках	pɐˈjestkəx
